Student Name                  Class Year               Letter Group        GPA            
Nathan Sawer                  SR                       D                   3.2            
Lucas Entertainment           SR                       E                   4.0            
Jake Gessel                   SR                       G                   2.7            
Evgeni Falcon                 SR                       H                   3.0            
Gray Blue                     SR                       H                   3.1            
Daniel Reed                   SR                       C                   4.0            
Logan Tree                    SR                       F                   3.5            
Jake Guentzel                 SR                       F                   3.9            
Brett Walker                  SR                       A                   2.5            
Trent Faulkner                SR                       B                   2.7            
Anne Frank                    JR                       D                   2.0            
Adam Clout                    JR                       E                   2.5            
Michaela Shclichtkrull        JR                       G                   3.75           
Zach Bednarowicz              JR                       H                   3.5            
Mikey Spurr                   JR                       C                   4.0            
George Washington             JR                       C                   2.75           
Gregory Kapfhammer            JR                       F                   4.0            
Colten Gizzard                JR                       A                   3.6            
Chris Paul                    JR                       A                   2.75           
Paul George                   JR                       B                   3.0            
Simon Burros                  SO                       D                   3.6            
Wancaster Lu                  SO                       E                   3.7            
Devin Ho                      SO                       G                   3.4            
Christian Lussier             SO                       H                   3.8            
Spencer Huang                 SO                       H                   3.8            
Sheck Wes                     SO                       C                   3.3            
Ben Buttons                   SO                       F                   2.3            
Ticolous Nocci                SO                       A                   3.5            
Phil Kessel                   SO                       A                   4.0            
Atlas Bessy                   SO                       B                   3.4            
Bobby Ryan                    FR                       D                   4.0            
Colton Schneider              FR                       E                   2.2            
Hannah Kitchen                FR                       G                   4.0            
Dillon Thoma                  FR                       H                   2.5            
Fabian Cuen                   FR                       H                   2.9            
John Smith                    FR                       C                   3.2            
Edward Opalko                 FR                       F                   2.3            
Ben Watto                     FR                       A                   3.5            
Emily Water                   FR                       A                   3.8            
Nick Tocci                    FR                       B                   4.0            
