Student Name                  Class Year               Letter Group        GPA            Prioity Rank
Jake Gessel                   SR                       G                   2.7            9         
Evgeni Falcon                 SR                       H                   3.0            5         
Gray Blue                     SR                       H                   3.1            10        
Nathan Sawer                  SR                       D                   3.2            4         
Lucas Entertainment           SR                       E                   4.0            7         
Daniel Reed                   SR                       C                   4.0            3         
Logan Tree                    SR                       F                   3.5            6         
Jake Guentzel                 SR                       F                   3.9            8         
Brett Walker                  SR                       A                   2.5            1         
Trent Faulkner                SR                       B                   2.7            2         
Michaela Shclichtkrull        JR                       G                   3.75           10        
Zach Bednarowicz              JR                       H                   3.5            2         
Anne Frank                    JR                       D                   2.0            6         
Adam Clout                    JR                       E                   2.5            5         
Mikey Spurr                   JR                       C                   4.0            1         
George Washington             JR                       C                   2.75           9         
Gregory Kapfhammer            JR                       F                   4.0            7         
Colten Gizzard                JR                       A                   3.6            4         
Chris Paul                    JR                       A                   2.75           8         
Paul George                   JR                       B                   3.0            3         
Devin Ho                      SO                       G                   3.4            5         
Christian Lussier             SO                       H                   3.8            1         
Spencer Huang                 SO                       H                   3.8            7         
Simon Burros                  SO                       D                   3.6            10        
Wancaster Lu                  SO                       E                   3.7            8         
Sheck Wes                     SO                       C                   3.3            4         
Ben Buttons                   SO                       F                   2.3            2         
Ticolous Nocci                SO                       A                   3.5            3         
Phil Kessel                   SO                       A                   4.0            6         
Atlas Bessy                   SO                       B                   3.4            9         
Hannah Kitchen                FR                       G                   4.0            8         
Dillon Thoma                  FR                       H                   2.5            2         
Fabian Cuen                   FR                       H                   2.9            9         
Bobby Ryan                    FR                       D                   4.0            5         
Colton Schneider              FR                       E                   2.2            6         
John Smith                    FR                       C                   3.2            4         
Edward Opalko                 FR                       F                   2.3            7         
Ben Watto                     FR                       A                   3.5            1         
Emily Water                   FR                       A                   3.8            10        
Nick Tocci                    FR                       B                   4.0            3         
